Type Name,Base Type,Value Name,Value,Comment,Source,
file,enum,,,,,
,,swimming_area,72,,,
,,tall_tower,73,,,
,,telephone,74,,,
,,toll_booth,75,,,
,,trail_head,76,,,
,,truck_stop,77,,,
,,tunnel,78,,,
,,ultralight_area,79,,,
,,zoo,80,,,
,,geocache,81,,,
,,geocache_found,82,,,
,,flag_blue,83,,,
,,pin_blue,84,,,
,,bike_trail,85,,,
,,ice_skating,86,,,
,,beacon,88,,,
,,horn,89,,,
,,beach,90,,,
,,buoy_white,91,,,
,,wrecker,92,,,
,,navaid_amber,93,,,
,,navaid_black,94,,,
,,navaid_blue,95,,,
,,navaid_green_white,96,,,
,,navaid_green,97,,,
,,navaid_green_red,98,,,
,,navaid_orange,99,,,
,,navaid_red_green,100,,,
,,navaid_red_white,101,,,
,,navaid_red,102,,,
,,navaid_violet,103,,,
,,navaid_white,104,,,
,,navaid_white_green,105,,,
,,navaid_white_red,106,,,
,,bell,108,,,
,,block_green,109,,,
,,block_red,110,,,
,,food_source,111,,,
,,flag_green,116,,,
,,flag_red,117,,,
,,pin_green,118,,,
,,pin_red,119,,,
,,atv,120,,,
,,big_game,121,,,
,,blind,122,,,
,,blood_trail,123,,,
,,cover,124,,,
,,covey,125,,,
,,furbearer,127,,,
,,lodge,128,,,
,,small_game,129,,,
,,animal_tracks,130,,,
,,treed_quarry,131,,,
,,tree_stand,132,,,
,,truck,133,,,
,,upland_game,134,,,
,,waterfowl,135,,,
,,water_source,136,,,
navigation_prompt,enum,,,,,
,,text_only,1,,,
,,map,2,,,
open_water_event_type,enum,,,,,
,,change_stroke,44,,,
orientation,enum,,,,,
,,north_up,0,,,
,,track_up,1,,,
power_averaging,enum,,,,,
,,include_zeros,0,,,
,,do_not_include_zeros,1,,,
power_save_timeout,enum,,,,,
,,normal,0,,,
,,extended,1,,,
record_metric,enum,,,,,
,,time,0,,,
,,distance,1,,,
,,ascent,2,,,
,,power,3,,,
relief_shading,enum,,,,,
,,default,0,,,
,,off,1,,,
,,on,2,,,
route_recalculation,enum,,,,,
,,automatic,0,,,
,,off,1,,,
,,prompted,2,,,
routing_mode,enum,,,,,
,,automobile_driving,0,,,
,,road_cycling,1,,,
,,pedestrian,2,,,
,,mountain_biking,4,,,
,,straight_line,5,,,
,,motorcycle_driving,6,,,
,,gravel_cycling,11,,,
,,mixed_surface_cycling,12,,,
routing_type,enum,,,,,
,,bearing,0,,,
,,course,1,,,
running_power_mode,enum,,,,,
,,off,0,,,
,,accessory_mode,1,,,
,,wrist_only,2,,,
,,smart_mode,3,,,
satellites,enum,,,,,
,,off,0,,,
,,gps_only,1,,,
,,gps_glonass,2,,,
,,ultra_trac,3,,,
,,gps_galileo,5,,,
,,all_systems,7,,,
,,all_multi_band,8,,,
,,auto_select,9,,,
screen_type,enum,,,,,
,,clock,21,,,
,,hr_gauge,22,,,
,,map,25,,,
,,virtual_partner,26,,,
,,run_dynamics,27,,,
,,music,30,,,
,,custom_lap_banner,32,,,
,,compass,35,,,
,,workout,38,,,
,,altitude,44,,,
,,segment,56,,,
,,group_track_list,57,,,
,,lap_summary,74,,,
,,climb_pro,104,,,
,,track_laps,109,,,
,,track_summary,122,,,
,,stamina,127,,,
,,group_ride,162,,,
self_evaluation_status,enum,,,,,
,,off,0,,,
,,workouts_only,1,,,
,,always,2,,,
sensor_type,enum,,,,,
,,external_heart_rate,0,,10,
,,cadence,1,,10,
,,foot_pod,2,,10,
,,power,3,,10,
,,speed,4,,10,
,,speed_cadence,5,,,
,,tempe,6,,10,
,,shimano_di2,8,,12,
,,edge_remote,10,,10,
,,smart_trainer,12,,10,
,,lights,13,,10,
,,radar,14,,10,
,,extended_display,15,,,
,,shifting,16,,10,
,,muscle_o2,17,,10,
,,rd_pod,18,,12,
,,headphones,22,,,
,,tank_pressure,28,,,
sound_and_vibe,enum,,,,,
,,off,0,,,
,,tone,1,,,
,,vibration,2,,,
,,tone_and_vibe,3,,,
sub_sport,enum,,,,,
,,rucking,124,,,
sport_change,enum,,,,,
,,manual_only,0,,,
,,on,1,,,
touch_status,enum,,,,,
,,off,0,,,
,,on,1,,,
,,system,2,,,
,,map_only,3,,,
training_readiness_level,enum,,,,,
,,poor,1,,,
,,low,2,,,
,,moderate,3,,,
,,high,4,,,
,,prime,5,,,
,,,,,,
,,,,,,
use_status,enum,,,,,
,,off,0,,,
,,indoor,1,,,
,,always,2,,,
visibility_status,enum,,,,,
,,hide,0,,,
,,show,1,,,
volume,enum,,,,,
,,ounces,1,,,
,,milliliters,2,,,
waypoint_action,enum,,,,5,
,,add_to_existing,0,,,
,,replace_existing,1,,,
,,delete_all,2,,,
wind_data_status,enum,,,,,
,,disabled,0,,,
,,enabled,1,,,
yes_no,enum,,,,,
,,no,0,,,
,,yes,1,,,
zone_metric,enum,,,,,
,,heart_rate,0,,,
,,speed,1,,,
,,cadence,2,,,
,,power,3,,,
,,elevation,4,,,
